name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
한라수목원,0.558315424,0.451,0.675497296,0.507390112,0.5083936479999998,0.617487616,0.451,0.563780224,4.3
한라산국립공원,0.754275011764706,0.6604464138408305,0.7190046698961938,0.6635159723183391,0.7053827930795848,0.7263557391003461,0.6633993564013841,0.7868503882352943,4.7
한라산성판악,0.5387068571428572,0.5102865714285714,0.5851897142857143,0.5257528571428571,0.5776528571428572,0.618332,0.564056,0.593372,4.5
한림공원,0.552546462585034,0.5856041768707482,0.5944604462585033,0.6112637115646257,0.5755066340136054,0.6389233768707483,0.5760994911564625,0.6173318585034012,4.3
함덕서우봉해변,0.7057702738813735,0.6372094126951092,0.6807948973985432,0.6385888570239333,0.6924857569198751,0.7353823454734651,0.6287697465140478,0.728899232466181,4.6
항파두리항몽,0.41778571428571437,0.41778571428571437,0.41778571428571437,0.41778571428571437,0.41778571428571437,0.41778571428571437,0.41778571428571437,0.41778571428571437,4.1
해녀박물관,0.47342726400000007,0.4934651520000001,0.47557632000000005,0.4961283840000001,0.45300000000000007,0.47323008000000005,0.5141245440000001,0.47431084800000006,4.3
헬로키티아일랜드,0.38300000000000006,0.5774972,0.5502293600000001,0.38300000000000006,0.4008632000000001,0.40050680000000005,0.43869775999999994,0.38300000000000006,3.6
협재해수욕장,0.6851480106666666,0.650123616,0.6713855626666666,0.64834872,0.6692667840000001,0.6656290986666665,0.596,0.7666910506666665,4.5
협재굴,0.4005,0.4005,0.4005,2.4453,0.4005,0.4005,0.4005,1.4268599999999998,4.0
혼인지,0.26816666666666666,0.26816666666666666,0.26816666666666666,0.26816666666666666,0.26816666666666666,0.26816666666666666,0.26816666666666666,0.26816666666666666,2.7
환상숲곶자왈공원,0.46499999999999997,0.46499999999999997,0.46499999999999997,0.8774928,0.6284976,0.46499999999999997,0.5437199999999999,0.9675311999999999,4.6
황우지,0.48229232000000005,0.46573078400000006,0.44900000000000007,0.609447104,0.46759664000000006,0.49921505600000005,0.44900000000000007,0.5921095040000001,4.2
휴애리자연생활공원,0.43500000000000005,0.650744,2.049789333333333,0.43500000000000005,0.5646800000000001,0.43500000000000005,0.5644933333333333,0.43500000000000005,4.2
흑돼지거리,0.45070910204081627,0.4392857142857143,2.3029371428571426,0.47509273469387747,0.4392857142857143,0.4392857142857143,0.5195794285714286,0.47521934693877543,4.0
